id,device_id,product_code_id,is_primary
578,K760671,DXY,1
579,K760672,JJQ,1
580,K760673,DFT,1
581,K760674,KCO,1
582,K760675,GEI,1
583,K760676,DSF,1
584,K760677,DPS,1
585,K760678,FMG,1
586,K760679,FMG,1
587,K760680,CBO,1
588,K760681,DHN,1
589,K760682,JPK,1
590,K760683,KPD,1
591,K760684,HKP,1
592,K760685,CJE,1
593,K760686,GEH,1
594,K760688,JAK,1
595,K760689,JXE,1
596,K760690,JTY,1
597,K760691,JTY,1
598,K760692,JTY,1
599,K760693,JTY,1
600,K760694,FLN,1
601,K760695,DSP,1
602,K760696,EPT,1
603,K760697,HRK,1
604,K760699,LDH,1
605,K760700,GCY,1
606,K760701,JTN,1
607,K760702,FHS,1
608,K760703,GEN,1
609,K760704,CAW,1
610,K760705,CAW,1
611,K760706,IMD,1
612,K760707,EAZ,1
613,K760708,KNT,1
614,K760709,DOG,1
615,K760710,DRT,1
616,K760711,JPZ,1
617,K760712,INX,1
618,K760713,CDT,1
619,K760714,DTB,1
620,K760715,KOA,1
621,K760716,KOA,1
622,K760717,KOA,1
623,K760718,FRN,1
624,K760719,GJG,1
625,K760720,FLL,1
626,K760721,DXJ,1
627,K760722,GEI,1
628,K760723,EBL,1
629,K760724,EKX,1
630,K760725,FLC,1
631,K760726,HNO,1
632,K760728,KNG,1
633,K760730,LAS,1
634,K760732,GAG,1
635,K760733,GAG,1
636,K760734,GDT,1
637,K760735,EXB,1
638,K760736,KTA,1
639,K760737,JJQ,1
640,K760738,DXN,1
641,K760739,JQP,1
642,K760741,IZL,1
643,K760742,GEH,1
644,K760743,KSQ,1
645,K760744,HRY,1
646,K760745,GCY,1
647,K760746,GCY,1
648,K760747,GCY,1
649,K760748,CHL,1
650,K760749,JJC,1
651,K760750,JLG,1
652,K760751,DPW,1
653,K760752,ELW,1
654,K760753,ELW,1
655,K760754,EBH,1
656,K760755,ELW,1
657,K760756,DXG,1
658,K760757,DXY,1
659,K760758,FRG,1
660,K760759,CCT,1
661,K760760,JCY,1
662,K760761,FFX,1
663,K760762,BWF,1
664,K760763,HEX,1
665,K760764,JSG,1
666,K760765,GKL,1
667,K760766,BZR,1
668,K760767,DQK,1
669,K760768,EKO,1
670,K760769,JRI,1
671,K760770,HLJ,1
672,K760771,HLJ,1
673,K760772,FSD,1
674,K760774,DXG,1
675,K760775,GAA,1
676,K760777,FCE,1
677,K760778,GCY,1
678,K760779,FXP,1
679,K760780,FMI,1
680,K760781,FJT,1
681,K760782,ILO,1
682,K760783,EJS,1
683,K760784,JXG,1
684,K760785,JXG,1
685,K760786,CHI,1
686,K760787,BYJ,1
687,K760788,JQY,1
688,K760789,JQY,1
689,K760790,JSS,1
690,K760791,DWS,1
691,K760792,DWS,1
692,K760793,FFD,1
693,K760794,EFB,1
694,K760795,EAY,1
695,K760796,EAY,1
696,K760797,EJT,1
697,K760800,DON,1
698,K760801,JLW,1
699,K760802,KHQ,1
700,K760803,DRT,1
701,K760804,ILO,1
702,K760805,ELC,1
703,K760806,JIS,1
704,K760807,KKX,1
705,K760808,JAK,1
706,K760810,EXD,1
707,K760811,KGO,1
708,K760812,GCX,1
709,K760813,GCX,1
710,K760814,GCX,1
711,K760815,FTG,1
712,K760816,GWB,1
713,K760817,ILG,1
714,K760818,JJY,1
715,K760819,CAI,1
716,K760820,KYG,1
717,K760821,CJT,1
718,K760822,FAK,1
719,K760823,DTN,1
720,K760824,DTZ,1
721,K760826,GMJ,1
722,K760827,GMJ,1
723,K760828,JJJ,1
724,K760829,GMG,1
725,K760830,JWT,1
726,K760831,GMK,1
727,K760832,GMK,1
728,K760833,KFH,1
729,K760834,GMH,1
730,K760835,KFG,1
731,K760838,LEB,1
732,K760841,ITG,1
733,K760842,HRY,1
734,K760843,DTL,1
735,K760844,DXG,1
736,K760845,CAF,1
737,K760846,EGW,1
738,K760847,HNC,1
739,K760848,HNC,1
740,K760849,HNC,1
741,K760850,GDH,1
742,K760851,KAL,1
743,K760853,HHL,1
744,K760854,DPS,1
745,K760855,FXY,1
746,K760856,GKT,1
747,K760857,DXH,1
748,K760858,KOD,1
749,K760859,EWO,1
750,K760860,EXB,1
751,K760861,FYF,1
752,K760862,CIN,1
753,K760863,JJW,1
754,K760864,FYA,1
755,K760865,FXY,1
756,K760866,BTT,1
757,K760867,KKX,1
758,K760868,KNW,1
759,K760869,HSS,1
760,K760870,FMP,1
761,K760871,JHY,1
762,K760872,LBI,1
763,K760874,HEM,1
764,K760876,LRS,1
765,K760877,CCT,1
766,K760878,EXB,1
767,K760879,FRF,1
768,K760880,KPE,1
769,K760881,GSZ,1
770,K760882,JAK,1
771,K760883,DPB,1
772,K760884,DSI,1
773,K760885,JJX,1
774,K760886,EXB,1
775,K760887,ESD,1
776,K760888,KNG,1
777,K760889,GOL,1
778,K760890,KKX,1
779,K760891,CBO,1
780,K760893,JOZ,1
781,K760894,DWD,1
782,K760895,KZD,1
783,K760897,KOD,1
784,K760898,GDJ,1
785,K760899,GJW,1
786,K760900,JJJ,1
787,K760903,FYA,1
788,K760904,FYC,1
789,K760905,IXW,1
790,K760906,JDY,1
791,K760908,DPA,1
792,K760909,ELK,1
793,K760910,ILO,1
794,K760911,HGY,1
795,K760912,KGO,1
796,K760913,IPF,1
797,K760914,KSW,1
